person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_capped,loan_amnt_capped,income_band,age_band,loan_amount_band,interest_rate_band,default_flag,high_loan_to_income_flag,previous_default_flag,high_interest_flag,loan_grade_score,home_ownership_score,loan_to_income_score,interest_rate_score,previous_default_score,employment_length_score,credit_history_score,credit_risk_score,credit_risk_level,high_risk_borrower_flag,watchlist_flag,model_priority
21,39760,RENT,0.0,PERSONAL,D,12000,16.07,1,0.3,Y,2,39760.0,12000.0,30K-50K,18-25,10K-15K,16%-20%,1,1,1,1,4,3,4,4,4,2,2,23,Very High,1,1,Priority Review
22,31000,RENT,3.0,VENTURE,E,10000,19.42,1,0.32,Y,2,31000.0,10000.0,30K-50K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,1,2,23,Very High,1,1,Priority Review
24,30000,RENT,0.0,PERSONAL,E,10000,19.29,1,0.33,Y,3,30000.0,10000.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
23,29000,RENT,0.0,EDUCATION,E,10000,17.93,1,0.34,Y,3,29000.0,10000.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
21,26000,RENT,2.0,MEDICAL,E,7750,16.7,1,0.3,Y,2,26000.0,7750.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,1,2,23,Very High,1,1,Priority Review
25,19200,RENT,1.0,VENTURE,E,7000,16.82,1,0.36,Y,3,19200.0,7000.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
23,19250,RENT,1.0,HOMEIMPROVEMENT,E,6250,16.82,1,0.32,Y,4,19250.0,6250.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
24,4800,RENT,0.0,VENTURE,E,2400,16.0,1,0.5,Y,4,4800.0,2400.0,<30K,18-25,<5K,12%-16%,1,1,1,1,5,3,4,4,4,2,1,23,Very High,1,1,Priority Review
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,78000.0,29800.0,75K-100K,18-25,25K+,16%-20%,1,1,1,1,6,3,4,4,4,0,1,22,Very High,1,1,Priority Review
29,54000,MORTGAGE,1.0,PERSONAL,G,25000,20.16,1,0.46,Y,8,54000.0,25000.0,50K-75K,26-35,15K-25K,20%+,1,1,1,1,7,1,4,4,4,2,0,22,Very High,1,1,Priority Review
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,66300.0,25000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
31,84000,MORTGAGE,3.0,HOMEIMPROVEMENT,G,25000,17.34,1,0.3,Y,5,84000.0,25000.0,75K-100K,26-35,15K-25K,16%-20%,1,1,1,1,7,1,4,4,4,1,1,22,Very High,1,1,Priority Review
23,59000,RENT,5.0,DEBTCONSOLIDATION,E,24000,19.69,1,0.41,Y,2,59000.0,24000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,0,2,22,Very High,1,1,Priority Review
22,62250,RENT,3.0,PERSONAL,E,24000,16.45,1,0.39,Y,4,62250.0,24000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
28,54000,RENT,1.0,VENTURE,E,24000,16.45,1,0.44,Y,8,54000.0,24000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,0,22,Very High,1,1,Priority Review
24,48000,RENT,4.0,VENTURE,D,24000,16.29,1,0.5,Y,2,48000.0,24000.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,1,2,22,Very High,1,1,Priority Review
21,44964,RENT,2.0,EDUCATION,D,24000,16.29,1,0.53,Y,2,44964.0,24000.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,1,2,22,Very High,1,1,Priority Review
47,38400,RENT,3.0,MEDICAL,F,22000,18.78,1,0.57,Y,17,38400.0,22000.0,30K-50K,46-60,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,1,0,22,Very High,1,1,Priority Review
35,40000,RENT,3.0,VENTURE,F,21000,19.41,1,0.53,Y,10,40000.0,21000.0,30K-50K,26-35,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,1,0,22,Very High,1,1,Priority Review
22,51012,RENT,1.0,PERSONAL,D,20000,17.49,1,0.39,Y,4,51012.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,2,1,22,Very High,1,1,Priority Review
21,56000,RENT,4.0,VENTURE,E,20000,17.39,1,0.36,Y,3,56000.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
23,74800,RENT,1.0,MEDICAL,E,20000,17.04,1,0.23,Y,2,74800.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,0,1,1,5,3,2,4,4,2,2,22,Very High,1,1,Priority Review
22,74000,MORTGAGE,0.0,VENTURE,G,19000,20.48,1,0.26,Y,2,74000.0,19000.0,50K-75K,18-25,15K-25K,20%+,1,0,1,1,7,1,2,4,4,2,2,22,Very High,1,1,Priority Review
26,53000,RENT,2.0,VENTURE,E,18000,17.19,1,0.34,Y,3,53000.0,18000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
26,60000,RENT,2.0,HOMEIMPROVEMENT,D,18000,16.29,1,0.3,Y,2,60000.0,18000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,1,2,22,Very High,1,1,Priority Review
24,39000,RENT,2.0,DEBTCONSOLIDATION,E,16000,19.91,1,0.41,Y,3,39000.0,16000.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
30,54000,RENT,1.0,EDUCATION,E,16000,17.99,1,0.3,Y,10,54000.0,16000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,2,0,22,Very High,1,1,Priority Review
33,39000,RENT,4.0,DEBTCONSOLIDATION,E,15000,17.56,1,0.38,Y,5,39000.0,15000.0,30K-50K,26-35,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
25,32000,RENT,9.0,MEDICAL,E,15000,16.45,1,0.47,Y,2,32000.0,15000.0,30K-50K,18-25,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,0,2,22,Very High,1,1,Priority Review
27,34000,RENT,0.0,EDUCATION,E,15000,16.35,1,0.44,Y,10,34000.0,15000.0,30K-50K,26-35,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,2,0,22,Very High,1,1,Priority Review
26,39000,RENT,1.0,VENTURE,D,15000,16.07,1,0.38,Y,4,39000.0,15000.0,30K-50K,26-35,10K-15K,16%-20%,1,1,1,1,4,3,4,4,4,2,1,22,Very High,1,1,Priority Review
22,30000,RENT,4.0,DEBTCONSOLIDATION,E,13250,16.4,1,0.44,Y,3,30000.0,13250.0,<30K,18-25,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
23,46000,RENT,2.0,PERSONAL,F,12800,19.41,1,0.28,Y,2,46000.0,12800.0,30K-50K,18-25,10K-15K,16%-20%,1,0,1,1,6,3,2,4,4,1,2,22,Very High,1,1,Priority Review
27,54000,RENT,1.0,HOMEIMPROVEMENT,F,12750,18.535,1,0.24,Y,7,54000.0,12750.0,50K-75K,26-35,10K-15K,16%-20%,1,0,1,1,6,3,2,4,4,2,1,22,Very High,1,1,Priority Review
27,51600,RENT,1.0,PERSONAL,F,10400,18.25,1,0.2,Y,6,51600.0,10400.0,50K-75K,26-35,10K-15K,16%-20%,1,0,1,1,6,3,2,4,4,2,1,22,Very High,1,1,Priority Review
37,26400,RENT,0.0,MEDICAL,E,10000,19.03,1,0.38,Y,12,26400.0,10000.0,<30K,36-45,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,2,0,22,Very High,1,1,Priority Review
25,32200,RENT,1.0,VENTURE,D,10000,16.77,1,0.31,Y,4,32200.0,10000.0,30K-50K,18-25,5K-10K,16%-20%,1,1,1,1,4,3,4,4,4,2,1,22,Very High,1,1,Priority Review
24,26000,RENT,8.0,EDUCATION,E,10000,16.63,1,0.38,Y,2,26000.0,10000.0,<30K,18-25,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,0,2,22,Very High,1,1,Priority Review
22,34800,RENT,7.0,PERSONAL,G,9600,19.16,1,0.28,Y,2,34800.0,9600.0,30K-50K,18-25,5K-10K,16%-20%,1,0,1,1,7,3,2,4,4,0,2,22,Very High,1,1,Priority Review
24,33996,RENT,1.0,EDUCATION,E,9000,16.0,1,0.26,Y,2,33996.0,9000.0,30K-50K,18-25,5K-10K,12%-16%,1,0,1,1,5,3,2,4,4,2,2,22,Very High,1,1,Priority Review
29,27840,RENT,0.0,EDUCATION,E,8575,19.42,1,0.31,Y,10,27840.0,8575.0,<30K,26-35,5K-10K,16%-20%,1,1,1,1,5,3,4,4,4,2,0,22,Very High,1,1,Priority Review
21,35000,RENT,0.0,PERSONAL,F,8000,19.79,1,0.23,Y,4,35000.0,8000.0,30K-50K,18-25,5K-10K,16%-20%,1,0,1,1,6,3,2,4,4,2,1,22,Very High,1,1,Priority Review
24,38400,OTHER,0.0,VENTURE,E,8000,16.0,0,0.21,Y,2,38400.0,8000.0,30K-50K,18-25,5K-10K,12%-16%,0,0,1,1,5,3,2,4,4,2,2,22,Very High,1,1,Priority Review
22,35000,RENT,2.0,MEDICAL,F,7000,18.09,1,0.2,Y,2,35000.0,7000.0,30K-50K,18-25,5K-10K,16%-20%,1,0,1,1,6,3,2,4,4,1,2,22,Very High,1,1,Priority Review
25,30000,RENT,0.0,EDUCATION,E,7000,16.82,1,0.23,Y,2,30000.0,7000.0,<30K,18-25,5K-10K,16%-20%,1,0,1,1,5,3,2,4,4,2,2,22,Very High,1,1,Priority Review
25,24000,RENT,0.0,VENTURE,E,7000,16.45,1,0.29,Y,2,24000.0,7000.0,<30K,18-25,5K-10K,16%-20%,1,0,1,1,5,3,2,4,4,2,2,22,Very High,1,1,Priority Review
28,25000,RENT,0.0,HOMEIMPROVEMENT,F,5175,18.43,1,0.21,Y,6,25000.0,5175.0,<30K,26-35,5K-10K,16%-20%,1,0,1,1,6,3,2,4,4,2,1,22,Very High,1,1,Priority Review
25,45996,RENT,2.0,VENTURE,G,5000,20.16,1,0.11,Y,2,45996.0,5000.0,30K-50K,18-25,<5K,20%+,1,0,1,1,7,3,1,4,4,1,2,22,Very High,1,1,Priority Review
28,16000,RENT,2.0,DEBTCONSOLIDATION,E,5000,16.45,1,0.31,Y,7,16000.0,5000.0,<30K,26-35,<5K,16%-20%,1,1,1,1,5,3,4,4,4,1,1,22,Very High,1,1,Priority Review
25,37000,RENT,1.0,DEBTCONSOLIDATION,F,4200,18.535,1,0.11,Y,2,37000.0,4200.0,30K-50K,18-25,<5K,16%-20%,1,0,1,1,6,3,1,4,4,2,2,22,Very High,1,1,Priority Review
25,29000,RENT,0.0,HOMEIMPROVEMENT,F,3000,20.25,1,0.1,Y,2,29000.0,3000.0,<30K,18-25,<5K,20%+,1,0,1,1,6,3,1,4,4,2,2,22,Very High,1,1,Priority Review
26,9600,RENT,4.0,VENTURE,D,2950,17.49,1,0.31,Y,2,9600.0,2950.0,<30K,26-35,<5K,16%-20%,1,1,1,1,4,3,4,4,4,1,2,22,Very High,1,1,Priority Review
33,138000,RENT,0.0,PERSONAL,E,35000,18.64,1,0.25,Y,7,138000.0,29800.0,100K+,26-35,25K+,16%-20%,1,0,1,1,5,3,2,4,4,2,1,21,Very High,1,1,Priority Review
24,100000,MORTGAGE,8.0,VENTURE,F,30000,18.62,0,0.3,Y,2,100000.0,29800.0,75K-100K,18-25,25K+,16%-20%,0,1,1,1,6,1,4,4,4,0,2,21,Very High,1,1,Priority Review
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,75000.0,29800.0,50K-75K,18-25,25K+,16%-20%,1,1,1,1,4,3,4,4,4,1,1,21,Very High,1,1,Priority Review
37,88000,RENT,4.0,PERSONAL,G,25000,19.66,1,0.28,Y,12,88000.0,25000.0,75K-100K,36-45,15K-25K,16%-20%,1,0,1,1,7,3,2,4,4,1,0,21,Very High,1,1,Priority Review
37,88000,RENT,4.0,EDUCATION,G,25000,19.66,1,0.28,Y,15,88000.0,25000.0,75K-100K,36-45,15K-25K,16%-20%,1,0,1,1,7,3,2,4,4,1,0,21,Very High,1,1,Priority Review
24,88000,MORTGAGE,2.0,DEBTCONSOLIDATION,G,25000,18.84,1,0.28,Y,2,88000.0,25000.0,75K-100K,18-25,15K-25K,16%-20%,1,0,1,1,7,1,2,4,4,1,2,21,Very High,1,1,Priority Review
24,72400,MORTGAGE,4.0,PERSONAL,E,25000,17.99,0,0.35,Y,2,72400.0,25000.0,50K-75K,18-25,15K-25K,16%-20%,0,1,1,1,5,1,4,4,4,1,2,21,Very High,1,1,Priority Review
24,72400,MORTGAGE,4.0,EDUCATION,E,25000,17.99,0,0.35,Y,2,72400.0,25000.0,50K-75K,18-25,15K-25K,16%-20%,0,1,1,1,5,1,4,4,4,1,2,21,Very High,1,1,Priority Review
23,73000,OTHER,1.0,PERSONAL,F,25000,17.9,1,0.34,N,2,73000.0,25000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,0,1,6,3,4,4,0,2,2,21,Very High,1,1,Priority Review
24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4,92000.0,25000.0,75K-100K,18-25,15K-25K,16%-20%,1,0,1,1,5,3,2,4,4,2,1,21,Very High,1,1,Priority Review
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,78000.0,25000.0,75K-100K,18-25,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,1,1,21,Very High,1,1,Priority Review
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,66215.0,25000.0,50K-75K,18-25,15K-25K,12%-16%,1,1,1,0,4,3,4,2,4,2,2,21,Very High,1,1,Priority Review
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,47000.0,25000.0,30K-50K,26-35,15K-25K,12%-16%,1,1,1,0,4,3,4,2,4,2,2,21,Very High,1,1,Priority Review
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,75000.0,25000.0,50K-75K,18-25,15K-25K,12%-16%,1,1,1,0,5,3,4,2,4,2,1,21,Very High,1,1,Priority Review
23,114750,RENT,2.0,MEDICAL,G,24000,20.03,1,0.18,Y,3,114750.0,24000.0,100K+,18-25,15K-25K,20%+,1,0,1,1,7,3,1,4,4,1,1,21,Very High,1,1,Priority Review
22,98000,RENT,7.0,DEBTCONSOLIDATION,F,24000,18.535,1,0.24,Y,2,98000.0,24000.0,75K-100K,18-25,15K-25K,16%-20%,1,0,1,1,6,3,2,4,4,0,2,21,Very High,1,1,Priority Review
38,83000,RENT,3.0,HOMEIMPROVEMENT,G,22250,23.22,1,0.27,Y,12,83000.0,22250.0,75K-100K,36-45,15K-25K,20%+,1,0,1,1,7,3,2,4,4,1,0,21,Very High,1,1,Priority Review
22,66000,RENT,1.0,EDUCATION,F,22000,18.535,1,0.33,N,2,66000.0,22000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,0,1,6,3,4,4,0,2,2,21,Very High,1,1,Priority Review
33,57500,RENT,2.0,HOMEIMPROVEMENT,D,21000,16.29,1,0.37,Y,5,57500.0,21000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,1,1,21,Very High,1,1,Priority Review
28,58200,RENT,11.0,EDUCATION,E,20500,16.82,1,0.35,Y,5,58200.0,20500.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,0,1,21,Very High,1,1,Priority Review
28,56000,RENT,7.0,DEBTCONSOLIDATION,F,20000,18.25,1,0.36,Y,10,56000.0,20000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,6,3,4,4,4,0,0,21,Very High,1,1,Priority Review
23,69500,RENT,3.0,VENTURE,E,20000,17.74,0,0.29,Y,2,69500.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,0,0,1,1,5,3,2,4,4,1,2,21,Very High,1,1,Priority Review
21,67400,MORTGAGE,2.0,VENTURE,E,20000,17.74,1,0.3,Y,2,67400.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,1,1,1,5,1,4,4,4,1,2,21,Very High,1,1,Priority Review
33,89004,RENT,2.0,PERSONAL,F,20000,17.58,1,0.22,Y,6,89004.0,20000.0,75K-100K,26-35,15K-25K,16%-20%,1,0,1,1,6,3,2,4,4,1,1,21,Very High,1,1,Priority Review
23,74800,RENT,1.0,MEDICAL,E,20000,17.04,1,0.23,Y,3,74800.0,20000.0,50K-75K,18-25,15K-25K,16%-20%,1,0,1,1,5,3,2,4,4,2,1,21,Very High,1,1,Priority Review
32,36500,RENT,2.0,DEBTCONSOLIDATION,E,20000,16.82,1,0.55,Y,8,36500.0,20000.0,30K-50K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,0,21,Very High,1,1,Priority Review
22,46000,RENT,2.0,DEBTCONSOLIDATION,D,20000,16.0,1,0.43,Y,4,46000.0,20000.0,30K-50K,18-25,15K-25K,12%-16%,1,1,1,1,4,3,4,4,4,1,1,21,Very High,1,1,Priority Review
25,59004,RENT,1.0,PERSONAL,D,20000,14.84,1,0.34,Y,2,59004.0,20000.0,50K-75K,18-25,15K-25K,12%-16%,1,1,1,0,4,3,4,2,4,2,2,21,Very High,1,1,Priority Review
26,47500,RENT,10.0,PERSONAL,E,19000,16.7,1,0.4,Y,4,47500.0,19000.0,30K-50K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,0,1,21,Very High,1,1,Priority Review
22,50000,RENT,6.0,DEBTCONSOLIDATION,E,18250,16.7,1,0.36,Y,3,50000.0,18250.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,0,1,21,Very High,1,1,Priority Review
23,62050,RENT,1.0,MEDICAL,E,17800,16.35,1,0.24,Y,3,62050.0,17800.0,50K-75K,18-25,15K-25K,16%-20%,1,0,1,1,5,3,2,4,4,2,1,21,Very High,1,1,Priority Review
21,49000,RENT,2.0,PERSONAL,D,16950,18.25,1,0.35,Y,4,49000.0,16950.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,4,3,4,4,4,1,1,21,Very High,1,1,Priority Review
22,57175,RENT,6.0,EDUCATION,F,16000,17.15,1,0.28,Y,2,57175.0,16000.0,50K-75K,18-25,15K-25K,16%-20%,1,0,1,1,6,3,2,4,4,0,2,21,Very High,1,1,Priority Review
23,45000,RENT,7.0,MEDICAL,E,16000,16.45,1,0.36,Y,4,45000.0,16000.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,0,1,21,Very High,1,1,Priority Review
28,51000,RENT,2.0,EDUCATION,E,16000,16.32,1,0.31,Y,9,51000.0,16000.0,50K-75K,26-35,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,1,0,21,Very High,1,1,Priority Review
24,50000,RENT,8.0,MEDICAL,E,15850,16.35,1,0.32,Y,3,50000.0,15850.0,30K-50K,18-25,15K-25K,16%-20%,1,1,1,1,5,3,4,4,4,0,1,21,Very High,1,1,Priority Review
23,49000,MORTGAGE,7.0,MEDICAL,G,15000,19.82,1,0.31,Y,3,49000.0,15000.0,30K-50K,18-25,10K-15K,16%-20%,1,1,1,1,7,1,4,4,4,0,1,21,Very High,1,1,Priority Review
23,35000,MORTGAGE,7.0,EDUCATION,F,15000,18.43,0,0.43,Y,2,35000.0,15000.0,30K-50K,18-25,10K-15K,16%-20%,0,1,1,1,6,1,4,4,4,0,2,21,Very High,1,1,Priority Review
24,49200,RENT,8.0,DEBTCONSOLIDATION,E,15000,18.39,1,0.3,Y,4,49200.0,15000.0,30K-50K,18-25,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,0,1,21,Very High,1,1,Priority Review
42,41000,RENT,2.0,HOMEIMPROVEMENT,E,15000,16.95,1,0.37,Y,15,41000.0,15000.0,30K-50K,36-45,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,1,0,21,Very High,1,1,Priority Review
22,54225,RENT,0.0,EDUCATION,E,15000,16.7,1,0.28,Y,4,54225.0,15000.0,50K-75K,18-25,10K-15K,16%-20%,1,0,1,1,5,3,2,4,4,2,1,21,Very High,1,1,Priority Review
25,69000,RENT,0.0,HOMEIMPROVEMENT,E,15000,16.7,1,0.22,Y,3,69000.0,15000.0,50K-75K,18-25,10K-15K,16%-20%,1,0,1,1,5,3,2,4,4,2,1,21,Very High,1,1,Priority Review
29,40000,OTHER,2.0,DEBTCONSOLIDATION,E,15000,16.63,1,0.38,Y,10,40000.0,15000.0,30K-50K,26-35,10K-15K,16%-20%,1,1,1,1,5,3,4,4,4,1,0,21,Very High,1,1,Priority Review
