person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_capped,loan_amnt_capped,income_band,age_band,loan_amount_band,interest_rate_band,default_flag,high_loan_to_income_flag,previous_default_flag,high_interest_flag
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,65000.0,29800.0,50k-75k,18-25,25k+,16%-20%,1,1,0,1
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,10980.0,1500.0,<30k,18-25,<5k,<8%,0,0,0,0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,80000.0,29800.0,75k-100k,18-25,25k+,12%-16%,1,1,1,0
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,67746.0,29800.0,50k-75k,18-25,25k+,12%-16%,1,1,0,0
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,11000.0,4575.0,<30k,18-25,<5k,16%-20%,1,1,1,1
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,11000.0,1400.0,<30k,18-25,<5k,8%-12%,0,0,0,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,65000.0,29800.0,50k-75k,18-25,25k+,8%-12%,1,1,0,0
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,11389.0,4000.0,<30k,18-25,<5k,12%-16%,1,1,1,0
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,11520.0,2000.0,<30k,18-25,<5k,8%-12%,1,0,0,0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,120000.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,95000.0,29800.0,75k-100k,26-35,25k+,12%-16%,1,1,1,0
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,225000.0,24250.0,100k+,18-25,15k-25k,12%-16%,0,0,0,0
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,225000.0,7800.0,100k+,26-35,5k-10k,12%-16%,0,0,0,0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,12000.0,2500.0,<30k,18-25,<5k,<8%,1,0,0,0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,48000.0,29800.0,30k-50k,18-25,25k+,16%-20%,1,1,0,1
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,64000.0,29800.0,50k-75k,18-25,25k+,12%-16%,1,1,1,0
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,75000.0,29800.0,50k-75k,18-25,25k+,16%-20%,1,1,1,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,N,4,71500.0,29800.0,50k-75k,18-25,25k+,12%-16%,1,1,0,0
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,62050.0,29800.0,50k-75k,26-35,25k+,16%-20%,1,1,0,1
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,12000.0,2500.0,<30k,18-25,<5k,12%-16%,1,0,0,0
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,225000.0,20000.0,100k+,26-35,15k-25k,<8%,0,0,0,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,225000.0,24250.0,100k+,18-25,15k-25k,16%-20%,0,0,1,1
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,225000.0,10000.0,100k+,26-35,5k-10k,8%-12%,0,0,0,0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,225000.0,25000.0,100k+,26-35,15k-25k,12%-16%,0,0,0,0
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,225000.0,18000.0,100k+,18-25,15k-25k,16%-20%,0,0,0,1
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,80690.0,29800.0,75k-100k,26-35,25k+,<8%,1,1,0,0
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,66300.0,29800.0,50k-75k,18-25,25k+,12%-16%,1,1,0,0
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,89028.0,29800.0,75k-100k,26-35,25k+,<8%,1,1,0,0
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4,78000.0,29800.0,75k-100k,18-25,25k+,12%-16%,1,1,1,0
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,78000.0,29800.0,75k-100k,18-25,25k+,16%-20%,1,1,1,1
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,92004.0,29800.0,75k-100k,18-25,25k+,12%-16%,1,1,1,0
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,97000.0,29800.0,75k-100k,18-25,25k+,8%-12%,1,1,0,0
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,120000.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,225000.0,10000.0,100k+,26-35,5k-10k,12%-16%,0,0,1,0
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,225000.0,20000.0,100k+,26-35,15k-25k,8%-12%,0,0,0,0
23,277000,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4,225000.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,128000.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3,12000.0,1750.0,<30k,18-25,<5k,16%-20%,0,0,1,1
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,131000.0,29800.0,100k+,18-25,25k+,<8%,0,0,0,0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,225000.0,12000.0,100k+,18-25,10k-15k,8%-12%,0,0,0,0
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,225000.0,10000.0,100k+,26-35,5k-10k,8%-12%,1,0,0,0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,221850.0,25000.0,100k+,18-25,15k-25k,12%-16%,1,0,0,0
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,70000.0,29100.0,50k-75k,18-25,25k+,12%-16%,1,1,0,0
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,12000.0,1500.0,<30k,18-25,<5k,12%-16%,0,0,1,0
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,225000.0,28000.0,100k+,26-35,25k+,8%-12%,0,0,0,0
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,225000.0,20000.0,100k+,18-25,15k-25k,12%-16%,0,0,1,0
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,225000.0,9600.0,100k+,18-25,5k-10k,<8%,0,0,0,0
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,225000.0,25000.0,100k+,18-25,15k-25k,12%-16%,0,0,0,0
25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3,12000.0,3000.0,<30k,18-25,<5k,12%-16%,1,0,0,0
22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2,56950.0,28000.0,50k-75k,18-25,25k+,<8%,1,1,0,0
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,12000.0,3000.0,<30k,18-25,<5k,12%-16%,1,0,1,0
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,65000.0,28000.0,50k-75k,18-25,25k+,<8%,1,1,0,0
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,85000.0,28000.0,75k-100k,26-35,25k+,<8%,1,1,0,0
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,12000.0,6100.0,<30k,26-35,5k-10k,<8%,1,1,0,0
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,88000.0,28000.0,75k-100k,18-25,25k+,8%-12%,1,1,0,0
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,12000.0,4200.0,<30k,18-25,<5k,12%-16%,1,1,1,0
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,12000.0,4750.0,<30k,18-25,<5k,<8%,1,1,0,0
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,83004.0,28000.0,75k-100k,18-25,25k+,12%-16%,1,1,1,0
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,225000.0,18000.0,100k+,18-25,15k-25k,12%-16%,0,0,1,0
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,100000.0,28000.0,75k-100k,18-25,25k+,12%-16%,0,0,0,0
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,110000.0,28000.0,100k+,26-35,25k+,8%-12%,0,0,0,0
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4,12000.0,2700.0,<30k,26-35,<5k,<8%,1,0,0,0
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,108000.0,28000.0,100k+,18-25,25k+,8%-12%,1,0,0,0
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,151200.0,28000.0,100k+,18-25,25k+,8%-12%,0,0,0,0
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2,69000.0,27600.0,50k-75k,18-25,25k+,<8%,1,1,0,0
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,12000.0,3250.0,<30k,18-25,<5k,12%-16%,1,0,1,0
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,70000.0,27500.0,50k-75k,18-25,25k+,12%-16%,1,1,1,0
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,225000.0,25000.0,100k+,18-25,15k-25k,8%-12%,0,0,0,0
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,73200.0,27050.0,50k-75k,26-35,25k+,12%-16%,1,1,1,0
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,83000.0,27000.0,75k-100k,18-25,25k+,12%-16%,1,1,1,0
24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,N,3,73399.0,27000.0,50k-75k,18-25,25k+,12%-16%,1,1,0,0
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,62500.0,26000.0,50k-75k,18-25,25k+,8%-12%,1,1,0,0
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,120000.0,25600.0,100k+,18-25,25k+,12%-16%,0,0,0,0
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,12360.0,1600.0,<30k,18-25,<5k,12%-16%,0,0,0,0
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,60000.0,25475.0,50k-75k,18-25,25k+,8%-12%,1,1,0,0
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,225000.0,20000.0,100k+,18-25,15k-25k,12%-16%,0,0,1,0
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,225000.0,20000.0,100k+,18-25,15k-25k,8%-12%,0,0,0,0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,225000.0,21600.0,100k+,26-35,15k-25k,12%-16%,0,0,0,0
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,221004.0,11900.0,100k+,18-25,10k-15k,12%-16%,1,0,1,0
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,225000.0,25000.0,100k+,26-35,15k-25k,12%-16%,0,0,1,0
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,225000.0,29800.0,100k+,18-25,25k+,12%-16%,0,0,0,0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,83000.0,25300.0,75k-100k,18-25,25k+,8%-12%,1,1,0,0
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,12600.0,2000.0,<30k,18-25,<5k,<8%,1,0,0,0
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,12600.0,1750.0,<30k,18-25,<5k,12%-16%,0,0,0,0
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,42500.0,25000.0,30k-50k,18-25,15k-25k,12%-16%,1,1,1,0
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,N,3,41000.0,25000.0,30k-50k,18-25,15k-25k,12%-16%,1,1,0,0
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,12816.0,3000.0,<30k,18-25,<5k,12%-16%,1,0,1,0
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,12960.0,3650.0,<30k,18-25,<5k,8%-12%,1,0,0,0
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,225000.0,20000.0,100k+,26-35,15k-25k,8%-12%,0,0,0,0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,225000.0,29800.0,100k+,18-25,25k+,16%-20%,0,0,1,1
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,213000.0,29800.0,100k+,26-35,25k+,8%-12%,1,0,0,0
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,225000.0,6000.0,100k+,18-25,5k-10k,8%-12%,0,0,0,0
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,12960.0,4500.0,<30k,18-25,<5k,8%-12%,1,1,0,0
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,12996.0,2400.0,<30k,18-25,<5k,12%-16%,1,0,1,0
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,42000.0,25000.0,30k-50k,18-25,15k-25k,12%-16%,1,1,1,0
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,48000.0,25000.0,30k-50k,26-35,15k-25k,8%-12%,1,1,0,0
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,12996.0,3600.0,<30k,18-25,<5k,12%-16%,1,0,0,0
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,12996.0,4750.0,<30k,18-25,<5k,8%-12%,1,1,0,0
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,42360.0,25000.0,30k-50k,18-25,15k-25k,16%-20%,1,1,1,1
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,49000.0,25000.0,30k-50k,18-25,15k-25k,8%-12%,1,1,0,0
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,225000.0,25000.0,100k+,18-25,15k-25k,16%-20%,0,0,0,1
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,225000.0,3000.0,100k+,26-35,<5k,8%-12%,0,0,0,0
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,225000.0,7500.0,100k+,18-25,5k-10k,8%-12%,0,0,0,0
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,225000.0,25000.0,100k+,26-35,15k-25k,8%-12%,0,0,0,0
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,49464.0,25000.0,30k-50k,18-25,15k-25k,8%-12%,1,1,0,0
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,50000.0,25000.0,30k-50k,18-25,15k-25k,<8%,1,1,0,0
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,50000.0,25000.0,30k-50k,18-25,15k-25k,<8%,1,1,0,0
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,44000.0,25000.0,30k-50k,18-25,15k-25k,12%-16%,1,1,0,0
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,50000.0,25000.0,30k-50k,18-25,15k-25k,8%-12%,1,1,0,0
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,50004.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,50004.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,0,0
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,52000.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,13200.0,4950.0,<30k,18-25,<5k,<8%,1,1,0,0
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,220000.0,25000.0,100k+,18-25,15k-25k,8%-12%,0,0,0,0
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,216000.0,21000.0,100k+,18-25,15k-25k,8%-12%,0,0,0,0
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,216000.0,25000.0,100k+,18-25,15k-25k,16%-20%,0,0,0,1
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,216000.0,20000.0,100k+,26-35,15k-25k,12%-16%,0,0,1,0
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,215000.0,29800.0,100k+,18-25,25k+,12%-16%,0,0,1,0
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,215000.0,12000.0,100k+,26-35,10k-15k,<8%,0,0,0,0
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,52000.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,0,0
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,46000.0,25000.0,30k-50k,26-35,15k-25k,8%-12%,1,1,0,0
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,53000.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,1,0
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,47000.0,25000.0,30k-50k,26-35,15k-25k,12%-16%,1,1,1,0
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,47000.0,25000.0,30k-50k,18-25,15k-25k,16%-20%,1,1,0,1
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,13200.0,1400.0,<30k,18-25,<5k,8%-12%,0,0,0,0
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,13200.0,4500.0,<30k,18-25,<5k,12%-16%,1,1,0,0
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,210000.0,16000.0,100k+,18-25,15k-25k,8%-12%,0,0,0,0
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,210000.0,22000.0,100k+,26-35,15k-25k,8%-12%,0,0,0,0
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,48000.0,25000.0,30k-50k,26-35,15k-25k,16%-20%,1,1,0,1
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,54996.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,Y,4,55000.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,1,0
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,55000.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,55000.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,1,0
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,55164.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,1,0
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,56000.0,25000.0,50k-75k,26-35,15k-25k,12%-16%,1,1,0,0
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,203500.0,20000.0,100k+,18-25,15k-25k,12%-16%,0,0,0,0
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,190000.0,22000.0,100k+,18-25,15k-25k,16%-20%,1,0,1,1
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,13920.0,7750.0,<30k,18-25,5k-10k,16%-20%,1,1,0,1
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,60000.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,60000.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,54000.0,25000.0,50k-75k,26-35,15k-25k,12%-16%,1,1,1,0
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,N,3,14000.0,4000.0,<30k,18-25,<5k,12%-16%,1,0,0,0
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,200000.0,12000.0,100k+,18-25,10k-15k,12%-16%,0,0,0,0
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,200000.0,12000.0,100k+,18-25,10k-15k,12%-16%,0,0,0,0
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,200000.0,16000.0,100k+,18-25,15k-25k,12%-16%,0,0,0,0
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,54000.0,25000.0,50k-75k,18-25,15k-25k,16%-20%,1,1,0,1
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,60000.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,0,0
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,60000.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,60000.0,25000.0,50k-75k,18-25,15k-25k,8%-12%,1,1,0,0
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,61959.0,25000.0,50k-75k,18-25,15k-25k,12%-16%,1,1,0,0
