person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,credit_risk_score,credit_risk_level,predicted_default_probability,model_risk_band,review_priority
21,10000,RENT,PERSONAL,D,5000,12.17,0.5,Y,21,Very High,0.9981498044724662,75%+,Critical Review
29,30000,RENT,DEBTCONSOLIDATION,E,15000,16.4,0.5,N,18,Very High,0.998114765555428,75%+,Critical Review
23,31200,RENT,MEDICAL,E,15250,17.93,0.49,N,20,Very High,0.9981144069857484,75%+,Critical Review
31,20800,RENT,MEDICAL,D,9750,17.19,0.47,Y,21,Very High,0.9981102384753014,75%+,Critical Review
22,19200,RENT,HOMEIMPROVEMENT,D,8000,16.29,0.42,Y,21,Very High,0.9980588320904032,75%+,Critical Review
25,32400,RENT,HOMEIMPROVEMENT,D,17500,15.95,0.54,Y,20,Very High,0.9979682254796244,75%+,Critical Review
31,29000,RENT,HOMEIMPROVEMENT,D,13250,17.58,0.46,N,16,Very High,0.9979337341359366,75%+,Critical Review
37,19896,RENT,EDUCATION,E,10000,17.14,0.5,N,18,Very High,0.9979119425886914,75%+,Critical Review
32,22000,RENT,MEDICAL,E,10000,18.39,0.45,Y,21,Very High,0.997905995020288,75%+,Critical Review
21,18000,RENT,HOMEIMPROVEMENT,F,5600,18.09,0.31,N,20,Very High,0.9978118637360964,75%+,Critical Review
24,24000,RENT,HOMEIMPROVEMENT,D,10750,15.2,0.45,Y,21,Very High,0.9976326033228256,75%+,Critical Review
24,41000,RENT,HOMEIMPROVEMENT,D,25000,15.31,0.61,N,15,Very High,0.9976298646165912,75%+,Critical Review
22,37212,RENT,DEBTCONSOLIDATION,E,20000,16.69,0.54,N,17,Very High,0.9975239216309362,75%+,Critical Review
32,36500,RENT,DEBTCONSOLIDATION,E,20000,16.82,0.55,Y,21,Very High,0.99749784328962,75%+,Critical Review
30,14400,OWN,HOMEIMPROVEMENT,D,9250,14.96,0.64,N,12,High,0.9974049254815842,75%+,Critical Review
29,60000,MORTGAGE,MEDICAL,G,25000,20.16,0.42,N,16,Very High,0.9973804872885552,75%+,Critical Review
25,30600,RENT,MEDICAL,E,14500,17.04,0.47,N,19,Very High,0.9973680494149514,75%+,Critical Review
26,42000,RENT,MEDICAL,F,21000,17.26,0.5,Y,24,Very High,0.997364308691396,75%+,Critical Review
28,8000,RENT,HOMEIMPROVEMENT,B,4750,11.12,0.59,N,12,High,0.9973351365652195,75%+,Critical Review
25,24000,RENT,DEBTCONSOLIDATION,D,12000,12.17,0.5,Y,20,Very High,0.997277299926276,75%+,Critical Review
29,60000,MORTGAGE,DEBTCONSOLIDATION,G,25000,20.16,0.42,Y,20,Very High,0.9972741909011617,75%+,Critical Review
22,14400,RENT,HOMEIMPROVEMENT,E,4400,19.91,0.31,N,19,Very High,0.9972390500992768,75%+,Critical Review
38,30120,RENT,HOMEIMPROVEMENT,D,14400,12.8,0.48,Y,19,Very High,0.9971652739751384,75%+,Critical Review
24,54000,RENT,PERSONAL,G,16750,20.11,0.31,Y,26,Very High,0.9971389183019764,75%+,Critical Review
25,32000,RENT,MEDICAL,E,15000,16.45,0.47,Y,22,Very High,0.997090300721608,75%+,Critical Review
26,28800,RENT,HOMEIMPROVEMENT,D,13000,14.46,0.45,N,17,Very High,0.9970357202448512,75%+,Critical Review
22,34800,RENT,PERSONAL,G,9600,19.16,0.28,Y,22,Very High,0.9970120210264928,75%+,Critical Review
29,54000,MORTGAGE,PERSONAL,G,25000,20.16,0.46,Y,22,Very High,0.996998746534864,75%+,Critical Review
39,34000,RENT,HOMEIMPROVEMENT,D,14000,17.58,0.41,N,17,Very High,0.996952080201006,75%+,Critical Review
24,29000,RENT,MEDICAL,D,14400,15.7,0.5,N,15,Very High,0.9968996650593772,75%+,Critical Review
28,78000,RENT,HOMEIMPROVEMENT,G,24625,18.36,0.32,N,19,Very High,0.9968421052897742,75%+,Critical Review
23,19250,RENT,HOMEIMPROVEMENT,E,6250,16.82,0.32,N,20,Very High,0.9968396169996548,75%+,Critical Review
32,28800,RENT,PERSONAL,E,14500,16.7,0.5,N,17,Very High,0.9968362183714672,75%+,Critical Review
26,28000,RENT,MEDICAL,D,13000,16.29,0.46,Y,20,Very High,0.99681729227522,75%+,Critical Review
22,20000,MORTGAGE,PERSONAL,B,16600,9.76,0.83,N,10,High,0.9967496200399816,75%+,Critical Review
21,36000,RENT,MEDICAL,D,20000,15.31,0.56,Y,19,Very High,0.9966763204680512,75%+,Critical Review
26,48000,RENT,DEBTCONSOLIDATION,F,25000,18.43,0.52,N,18,Very High,0.996669759182315,75%+,Critical Review
22,48000,RENT,EDUCATION,E,30000,18.39,0.63,N,20,Very High,0.9966537080533746,75%+,Critical Review
22,30000,RENT,DEBTCONSOLIDATION,E,13250,16.4,0.44,Y,22,Very High,0.9965994632553794,75%+,Critical Review
21,26000,MORTGAGE,MEDICAL,D,14500,14.61,0.56,Y,17,Very High,0.996561186000228,75%+,Critical Review
23,34992,MORTGAGE,EDUCATION,F,22550,15.96,0.64,Y,19,Very High,0.9965138830118012,75%+,Critical Review
26,22000,RENT,MEDICAL,D,10000,14.59,0.45,Y,19,Very High,0.99648748105301,75%+,Critical Review
26,49000,RENT,HOMEIMPROVEMENT,F,20000,19.79,0.41,N,20,Very High,0.9963817767109894,75%+,Critical Review
40,56448,RENT,HOMEIMPROVEMENT,F,28000,18.62,0.5,N,18,Very High,0.9963628826451464,75%+,Critical Review
23,49000,MORTGAGE,MEDICAL,G,15000,19.82,0.31,Y,21,Very High,0.9962896454160152,75%+,Critical Review
27,36000,RENT,HOMEIMPROVEMENT,D,15000,16.77,0.42,N,15,Very High,0.9962736020854108,75%+,Critical Review
23,19250,RENT,HOMEIMPROVEMENT,E,6250,16.82,0.32,Y,23,Very High,0.9962074523508576,75%+,Critical Review
22,42000,RENT,MEDICAL,D,25000,14.59,0.6,Y,19,Very High,0.9962024625511812,75%+,Critical Review
28,30000,RENT,DEBTCONSOLIDATION,D,14125,14.74,0.47,N,15,Very High,0.9960365557384664,75%+,Critical Review
28,25000,RENT,MEDICAL,D,9750,18.25,0.39,Y,21,Very High,0.9960343988872408,75%+,Critical Review
41,49000,RENT,HOMEIMPROVEMENT,E,25000,17.04,0.51,N,17,Very High,0.9960264492356136,75%+,Critical Review
22,4800,RENT,PERSONAL,D,1800,14.84,0.38,Y,21,Very High,0.99602470759294,75%+,Critical Review
43,27036,RENT,PERSONAL,D,13750,15.31,0.51,Y,19,Very High,0.9960070077148652,75%+,Critical Review
22,21000,RENT,DEBTCONSOLIDATION,D,8000,16.77,0.38,Y,20,Very High,0.9959463081866384,75%+,Critical Review
37,26400,RENT,MEDICAL,E,10000,19.03,0.38,Y,22,Very High,0.9959265379744794,75%+,Critical Review
21,26000,RENT,DEBTCONSOLIDATION,D,9450,16.77,0.36,N,19,Very High,0.9958691835244874,75%+,Critical Review
22,28080,RENT,VENTURE,E,15250,16.7,0.54,N,17,Very High,0.9957913844092288,75%+,Critical Review
24,44000,RENT,DEBTCONSOLIDATION,D,25000,15.33,0.57,N,16,Very High,0.9957908204473496,75%+,Critical Review
27,47000,RENT,DEBTCONSOLIDATION,E,24000,17.14,0.51,N,19,Very High,0.9957124816467898,75%+,Critical Review
21,30000,RENT,DEBTCONSOLIDATION,D,13750,15.05,0.46,Y,20,Very High,0.9957113965110542,75%+,Critical Review
24,47000,RENT,PERSONAL,F,24000,17.8,0.51,N,20,Very High,0.99570977028203,75%+,Critical Review
25,33000,RENT,DEBTCONSOLIDATION,E,13650,16.35,0.41,N,19,Very High,0.9957061839203118,75%+,Critical Review
25,42360,RENT,EDUCATION,E,25000,16.35,0.59,Y,23,Very High,0.9956830042328328,75%+,Critical Review
25,39000,RENT,HOMEIMPROVEMENT,E,16050,17.14,0.41,Y,23,Very High,0.9956712227770156,75%+,Critical Review
27,12000,OWN,EDUCATION,D,8125,14.42,0.68,Y,17,Very High,0.9956564575925814,75%+,Critical Review
25,38000,RENT,MEDICAL,D,20000,14.59,0.53,N,15,Very High,0.9955794012211424,75%+,Critical Review
36,14400,RENT,EDUCATION,E,5500,17.56,0.38,N,18,Very High,0.9955395029203532,75%+,Critical Review
31,39000,RENT,HOMEIMPROVEMENT,D,16450,16.02,0.42,N,17,Very High,0.9955242826012212,75%+,Critical Review
40,33600,RENT,EDUCATION,E,19275,14.5,0.57,N,14,High,0.9955062832144012,75%+,Critical Review
23,49000,MORTGAGE,PERSONAL,G,15000,19.82,0.31,N,18,Very High,0.9954458139928748,75%+,Critical Review
54,53700,RENT,HOMEIMPROVEMENT,D,29850,15.31,0.56,Y,19,Very High,0.9954080271269792,75%+,Critical Review
25,39000,RENT,MEDICAL,E,18000,17.19,0.46,N,18,Very High,0.9954037554314868,75%+,Critical Review
42,25320,RENT,HOMEIMPROVEMENT,D,10000,14.84,0.39,Y,19,Very High,0.9953591675240386,75%+,Critical Review
24,24000,RENT,HOMEIMPROVEMENT,D,7750,17.27,0.32,N,18,Very High,0.9953488916344182,75%+,Critical Review
29,27000,RENT,DEBTCONSOLIDATION,D,12000,13.24,0.44,Y,20,Very High,0.9952615803029884,75%+,Critical Review
37,25000,RENT,MEDICAL,D,10000,16.29,0.4,N,15,Very High,0.9952480067969448,75%+,Critical Review
26,47000,RENT,HOMEIMPROVEMENT,D,25000,15.28,0.53,Y,21,Very High,0.9952244240646608,75%+,Critical Review
66,43000,RENT,DEBTCONSOLIDATION,D,22250,14.59,0.52,Y,17,Very High,0.9951414814291564,75%+,Critical Review
27,13500,RENT,MEDICAL,B,8000,12.18,0.59,N,12,High,0.995106276284272,75%+,Critical Review
37,38400,RENT,EDUCATION,D,23500,15.31,0.61,Y,17,Very High,0.994949795572246,75%+,Critical Review
22,30000,RENT,HOMEIMPROVEMENT,D,12250,13.67,0.41,Y,20,Very High,0.994928811461074,75%+,Critical Review
21,19500,MORTGAGE,EDUCATION,B,15000,9.64,0.77,N,11,High,0.9948368969120523,75%+,Critical Review
23,29000,RENT,MEDICAL,D,13450,12.61,0.46,N,15,Very High,0.994826039075434,75%+,Critical Review
24,39000,RENT,DEBTCONSOLIDATION,E,16000,19.91,0.41,N,18,Very High,0.9948014077939116,75%+,Critical Review
38,30000,RENT,PERSONAL,D,15000,14.61,0.5,Y,19,Very High,0.9947860610120112,75%+,Critical Review
35,40000,RENT,VENTURE,F,21000,19.41,0.53,Y,22,Very High,0.994765024309153,75%+,Critical Review
26,42000,RENT,HOMEIMPROVEMENT,D,16750,17.58,0.4,N,18,Very High,0.9947416486247244,75%+,Critical Review
22,19680,RENT,MEDICAL,D,7750,14.83,0.39,N,15,Very High,0.99468642853026,75%+,Critical Review
21,24000,RENT,VENTURE,D,13000,15.7,0.54,Y,19,Very High,0.99467838926992,75%+,Critical Review
29,6000,RENT,HOMEIMPROVEMENT,A,3250,8.59,0.54,N,10,High,0.9946516044364194,75%+,Critical Review
26,26000,RENT,EDUCATION,B,20050,9.76,0.77,N,11,High,0.9946506974756606,75%+,Critical Review
37,30000,RENT,PERSONAL,D,15000,15.31,0.5,N,13,High,0.994615775497082,75%+,Critical Review
25,34500,RENT,VENTURE,E,18250,17.04,0.53,N,19,Very High,0.9946028639171908,75%+,Critical Review
28,16000,RENT,DEBTCONSOLIDATION,E,5000,16.45,0.31,Y,22,Very High,0.9945320259526496,75%+,Critical Review
22,26000,RENT,PERSONAL,D,11200,16.89,0.43,N,16,Very High,0.9945211989011176,75%+,Critical Review
27,27000,OWN,EDUCATION,G,11500,20.11,0.43,N,17,Very High,0.9945193633499804,75%+,Critical Review
38,83000,RENT,HOMEIMPROVEMENT,G,22250,23.22,0.27,Y,21,Very High,0.9945108264478998,75%+,Critical Review
31,36000,RENT,HOMEIMPROVEMENT,E,13000,20.3,0.36,Y,21,Very High,0.9945061989195364,75%+,Critical Review
36,14004,RENT,MEDICAL,D,4800,15.28,0.34,N,15,Very High,0.994502268726382,75%+,Critical Review
24,39000,RENT,MEDICAL,D,20000,14.74,0.51,N,15,Very High,0.99445332362239,75%+,Critical Review
24,39000,RENT,DEBTCONSOLIDATION,E,16000,19.91,0.41,Y,22,Very High,0.9943941341779868,75%+,Critical Review
25,23000,RENT,HOMEIMPROVEMENT,D,8000,14.46,0.35,Y,20,Very High,0.9943672231047886,75%+,Critical Review
45,19368,RENT,HOMEIMPROVEMENT,D,6700,12.92,0.35,Y,19,Very High,0.9943536829572476,75%+,Critical Review
23,26000,MORTGAGE,HOMEIMPROVEMENT,E,10000,16.82,0.38,Y,21,Very High,0.994250163098863,75%+,Critical Review
28,30144,RENT,EDUCATION,D,15000,15.95,0.5,Y,19,Very High,0.9942188087895484,75%+,Critical Review
24,34320,RENT,MEDICAL,E,14400,16.82,0.42,Y,21,Very High,0.9942008240857014,75%+,Critical Review
22,34800,RENT,VENTURE,G,9600,19.16,0.28,Y,21,Very High,0.9941643216236848,75%+,Critical Review
27,34928,RENT,HOMEIMPROVEMENT,E,11500,16.0,0.33,N,19,Very High,0.9941406858698876,75%+,Critical Review
25,37560,RENT,DEBTCONSOLIDATION,F,12500,18.62,0.33,N,19,Very High,0.9940974619165868,75%+,Critical Review
29,32800,RENT,MEDICAL,E,12000,16.45,0.37,N,16,Very High,0.994096562766304,75%+,Critical Review
24,29000,RENT,MEDICAL,D,12000,15.05,0.41,Y,21,Very High,0.9940591165865524,75%+,Critical Review
23,36000,RENT,DEBTCONSOLIDATION,D,16750,15.28,0.47,Y,19,Very High,0.994030878738935,75%+,Critical Review
24,34400,RENT,DEBTCONSOLIDATION,D,14000,16.0,0.41,Y,20,Very High,0.9940158757305826,75%+,Critical Review
28,25200,RENT,PERSONAL,D,11500,14.46,0.46,N,13,High,0.9940081035498058,75%+,Critical Review
26,44000,MORTGAGE,MEDICAL,G,12000,18.84,0.27,Y,19,Very High,0.9939916902596364,75%+,Critical Review
22,26400,RENT,PERSONAL,D,10000,16.02,0.38,N,19,Very High,0.993973400281262,75%+,Critical Review
22,14400,RENT,HOMEIMPROVEMENT,B,8000,9.99,0.56,N,11,High,0.993946492243827,75%+,Critical Review
22,49000,RENT,MEDICAL,E,24000,17.56,0.49,N,18,Very High,0.9938994810234434,75%+,Critical Review
29,59000,RENT,VENTURE,G,20000,20.17,0.34,Y,24,Very High,0.9938726946988884,75%+,Critical Review
31,14400,RENT,HOMEIMPROVEMENT,D,4750,14.59,0.33,Y,18,Very High,0.9938652851391684,75%+,Critical Review
29,21996,RENT,DEBTCONSOLIDATION,D,8500,14.11,0.39,Y,18,Very High,0.9938224212212058,75%+,Critical Review
24,16800,RENT,DEBTCONSOLIDATION,D,6000,14.84,0.36,Y,19,Very High,0.9937929144822184,75%+,Critical Review
31,21900,RENT,PERSONAL,D,9500,14.59,0.43,N,14,High,0.99375020458858,75%+,Critical Review
41,4000,RENT,MEDICAL,C,2000,13.22,0.5,Y,17,Very High,0.9936808060045244,75%+,Critical Review
23,36000,RENT,MEDICAL,D,16750,15.28,0.47,Y,19,Very High,0.9936278867981566,75%+,Critical Review
24,45000,RENT,MEDICAL,E,20000,16.82,0.44,N,18,Very High,0.9936229581491168,75%+,Critical Review
42,41000,RENT,HOMEIMPROVEMENT,E,15000,16.95,0.37,Y,21,Very High,0.9934766282477036,75%+,Critical Review
23,36500,RENT,HOMEIMPROVEMENT,D,15000,15.65,0.41,N,15,Very High,0.9934174491142372,75%+,Critical Review
23,30000,RENT,DEBTCONSOLIDATION,E,10000,16.0,0.33,N,19,Very High,0.9933996312451788,75%+,Critical Review
22,8000,RENT,VENTURE,A,5400,7.75,0.68,N,10,High,0.9933963235151356,75%+,Critical Review
23,44000,RENT,HOMEIMPROVEMENT,F,13000,17.26,0.3,Y,24,Very High,0.9933925291260536,75%+,Critical Review
29,12000,RENT,EDUCATION,D,4500,15.05,0.38,N,15,Very High,0.993295435575756,75%+,Critical Review
22,21000,RENT,EDUCATION,D,8000,16.77,0.38,Y,21,Very High,0.9932453480736688,75%+,Critical Review
22,15000,RENT,EDUCATION,D,6000,14.59,0.4,N,15,Very High,0.993240735605843,75%+,Critical Review
32,29000,RENT,DEBTCONSOLIDATION,D,9450,16.29,0.33,N,15,Very High,0.9932361430979628,75%+,Critical Review
28,25200,RENT,PERSONAL,D,11500,14.46,0.46,Y,18,Very High,0.9932209263061408,75%+,Critical Review
25,36000,RENT,DEBTCONSOLIDATION,D,15000,15.05,0.42,Y,21,Very High,0.993218719248126,75%+,Critical Review
25,54000,RENT,HOMEIMPROVEMENT,E,25000,16.82,0.46,N,18,Very High,0.99317016969066,75%+,Critical Review
28,29000,RENT,DEBTCONSOLIDATION,D,10000,16.77,0.34,N,16,Very High,0.993158080746998,75%+,Critical Review
22,29950,RENT,HOMEIMPROVEMENT,D,10750,14.11,0.36,N,16,Very High,0.993157507724638,75%+,Critical Review
36,21324,RENT,DEBTCONSOLIDATION,D,7550,14.61,0.35,N,15,Very High,0.9931395338887584,75%+,Critical Review
27,20000,RENT,MEDICAL,D,7000,15.31,0.35,N,15,Very High,0.9930244136642318,75%+,Critical Review
25,9600,MORTGAGE,MEDICAL,C,5500,12.87,0.57,N,12,High,0.9930036283788276,75%+,Critical Review
27,27000,RENT,DEBTCONSOLIDATION,D,10000,15.62,0.37,N,14,High,0.9929298633696294,75%+,Critical Review
24,16000,RENT,HOMEIMPROVEMENT,C,8000,13.57,0.5,N,15,Very High,0.9929006875841132,75%+,Critical Review
30,30000,RENT,DEBTCONSOLIDATION,D,12000,15.21,0.4,Y,19,Very High,0.9928841628208148,75%+,Critical Review
41,31000,RENT,HOMEIMPROVEMENT,D,9250,16.49,0.3,N,17,Very High,0.9928712959824156,75%+,Critical Review
27,18835,RENT,MEDICAL,D,6000,16.49,0.32,Y,20,Very High,0.9928526237116736,75%+,Critical Review
27,21600,RENT,HOMEIMPROVEMENT,D,6000,18.07,0.28,N,16,Very High,0.9928500612563862,75%+,Critical Review
28,30000,RENT,MEDICAL,D,10000,17.58,0.33,N,16,Very High,0.9928252728844048,75%+,Critical Review
22,31000,RENT,DEBTCONSOLIDATION,B,21250,12.42,0.69,N,11,High,0.9927964211750036,75%+,Critical Review
25,36000,RENT,MEDICAL,D,15000,15.05,0.42,Y,21,Very High,0.9927612954562016,75%+,Critical Review
27,34000,RENT,EDUCATION,E,15000,16.35,0.44,Y,22,Very High,0.992749414629336,75%+,Critical Review
24,43400,RENT,DEBTCONSOLIDATION,E,18000,16.63,0.41,Y,23,Very High,0.992747055938435,75%+,Critical Review
21,30000,RENT,DEBTCONSOLIDATION,D,12250,14.59,0.41,Y,19,Very High,0.9926951032771169,75%+,Critical Review
24,44000,MORTGAGE,DEBTCONSOLIDATION,D,22800,17.27,0.52,N,14,High,0.9925741537526164,75%+,Critical Review
24,15000,RENT,PERSONAL,E,4800,16.95,0.32,N,18,Very High,0.9925601819128096,75%+,Critical Review
30,36432,RENT,EDUCATION,D,19000,15.21,0.52,Y,20,Very High,0.9925427298325832,75%+,Critical Review
35,17280,RENT,EDUCATION,D,7200,12.36,0.42,N,14,High,0.9925277212113032,75%+,Critical Review
22,31000,RENT,PERSONAL,D,15000,15.31,0.48,Y,18,Very High,0.992505165655847,75%+,Critical Review
28,44000,RENT,MEDICAL,E,19000,16.82,0.43,N,17,Very High,0.9925021909455786,75%+,Critical Review
33,39000,RENT,DEBTCONSOLIDATION,E,15000,17.56,0.38,Y,22,Very High,0.9924643329321038,75%+,Critical Review
27,30000,RENT,MEDICAL,D,10000,17.58,0.33,N,17,Very High,0.992433618318886,75%+,Critical Review
28,44000,RENT,DEBTCONSOLIDATION,F,14000,19.04,0.32,N,17,Very High,0.9924043544778792,75%+,Critical Review
27,16000,OTHER,DEBTCONSOLIDATION,D,5750,15.31,0.36,Y,19,Very High,0.9923781720251336,75%+,Critical Review
35,20000,RENT,EDUCATION,D,8500,15.05,0.42,Y,19,Very High,0.992356815042378,75%+,Critical Review
21,44964,RENT,EDUCATION,D,24000,16.29,0.53,Y,22,Very High,0.9923211431165824,75%+,Critical Review
40,31504,RENT,MEDICAL,E,10000,16.82,0.32,N,16,Very High,0.9922902307559154,75%+,Critical Review
24,26000,RENT,EDUCATION,E,10000,16.63,0.38,Y,22,Very High,0.992255568927735,75%+,Critical Review
23,13920,OWN,PERSONAL,E,7750,17.04,0.56,N,15,Very High,0.9922488529827612,75%+,Critical Review
36,33481,RENT,MEDICAL,E,13475,15.68,0.4,Y,18,Very High,0.9921672039566146,75%+,Critical Review
30,32004,RENT,PERSONAL,B,24250,11.12,0.76,N,12,High,0.9921437531196138,75%+,Critical Review
24,36000,RENT,MEDICAL,E,15250,15.95,0.42,Y,20,Very High,0.9921291944532724,75%+,Critical Review
29,36000,MORTGAGE,PERSONAL,D,20000,15.31,0.56,N,13,High,0.9920820943565984,75%+,Critical Review
26,32000,MORTGAGE,MEDICAL,D,15000,15.33,0.47,N,12,High,0.9920737507713148,75%+,Critical Review
21,26000,RENT,MEDICAL,E,7750,16.7,0.3,Y,23,Very High,0.9920009779799744,75%+,Critical Review
21,11000,MORTGAGE,VENTURE,E,4575,17.74,0.42,Y,20,Very High,0.9919968025223636,75%+,Critical Review
28,21600,RENT,VENTURE,D,9750,15.31,0.45,N,14,High,0.9919496137869416,75%+,Critical Review
26,16800,RENT,PERSONAL,B,10625,10.99,0.63,N,11,High,0.991943179938646,75%+,Critical Review
27,30000,RENT,HOMEIMPROVEMENT,D,10000,15.31,0.33,Y,20,Very High,0.9918776330805288,75%+,Critical Review
30,31200,RENT,PERSONAL,E,12000,16.45,0.38,Y,23,Very High,0.9918233103384936,75%+,Critical Review
21,21000,RENT,MEDICAL,F,5000,20.89,0.24,N,17,Very High,0.9917984369497812,75%+,Critical Review
26,48000,RENT,VENTURE,F,25000,18.43,0.52,N,19,Very High,0.991747288258518,75%+,Critical Review
31,13000,RENT,VENTURE,C,8000,12.84,0.62,N,13,High,0.9917453518981112,75%+,Critical Review
29,46000,RENT,DEBTCONSOLIDATION,D,22750,14.46,0.49,N,15,Very High,0.9916691116735084,75%+,Critical Review
38,18720,RENT,DEBTCONSOLIDATION,D,6000,15.99,0.32,Y,19,Very High,0.9916434010028766,75%+,Critical Review
28,56000,RENT,MEDICAL,F,20000,18.62,0.36,N,20,Very High,0.9915833842391748,75%+,Critical Review
47,27000,RENT,PERSONAL,D,12000,13.3,0.44,N,14,High,0.9915333083284136,75%+,Critical Review
26,46000,RENT,DEBTCONSOLIDATION,D,25000,11.86,0.54,N,14,High,0.9915230873023356,75%+,Critical Review
24,42000,RENT,HOMEIMPROVEMENT,D,18000,14.46,0.43,Y,18,Very High,0.9915156251547091,75%+,Critical Review
22,36996,RENT,PERSONAL,D,18250,14.61,0.49,Y,20,Very High,0.9915145496477352,75%+,Critical Review
23,35000,MORTGAGE,EDUCATION,F,15000,18.43,0.43,Y,21,Very High,0.9914642203368742,75%+,Critical Review
25,47000,RENT,HOMEIMPROVEMENT,D,19750,15.7,0.42,N,14,High,0.9914526918851588,75%+,Critical Review
25,45996,RENT,DEBTCONSOLIDATION,G,5000,20.16,0.11,Y,21,Very High,0.9914502199182738,75%+,Critical Review
28,32568,RENT,EDUCATION,D,15000,15.31,0.46,N,14,High,0.9914288681158394,75%+,Critical Review
26,44000,RENT,HOMEIMPROVEMENT,D,18225,14.91,0.41,N,16,Very High,0.9913387318538676,75%+,Critical Review
27,47000,MORTGAGE,DEBTCONSOLIDATION,G,7750,20.16,0.16,N,14,High,0.9912757757796186,75%+,Critical Review
34,20000,RENT,MEDICAL,F,5000,18.43,0.25,N,17,Very High,0.9912104100523552,75%+,Critical Review
25,39000,RENT,HOMEIMPROVEMENT,D,15000,12.92,0.38,N,16,Very High,0.9912055637943812,75%+,Critical Review
26,29400,RENT,HOMEIMPROVEMENT,C,17000,12.99,0.58,Y,19,Very High,0.9911900583247056,75%+,Critical Review
25,20000,RENT,MEDICAL,A,12000,8.07,0.6,N,12,High,0.991188317155664,75%+,Critical Review
28,32568,RENT,EDUCATION,D,15000,15.31,0.46,N,14,High,0.9911720215136368,75%+,Critical Review
22,46000,RENT,DEBTCONSOLIDATION,D,20000,16.0,0.43,Y,21,Very High,0.9911247992172102,75%+,Critical Review
22,27000,RENT,DEBTCONSOLIDATION,D,9500,15.33,0.35,Y,20,Very High,0.9910847525981812,75%+,Critical Review
28,30000,RENT,MEDICAL,D,11500,14.46,0.38,Y,20,Very High,0.9910839427338624,75%+,Critical Review
38,29000,RENT,DEBTCONSOLIDATION,D,10000,15.31,0.34,N,14,High,0.990979985113083,75%+,Critical Review
24,29000,MORTGAGE,HOMEIMPROVEMENT,B,20000,10.62,0.69,N,10,High,0.9909192526028078,75%+,Critical Review
28,71652,MORTGAGE,PERSONAL,G,25000,20.03,0.35,N,16,Very High,0.9908731061852242,75%+,Critical Review
23,47000,RENT,VENTURE,E,25000,17.93,0.53,N,20,Very High,0.9908610396575768,75%+,Critical Review
27,36000,MORTGAGE,DEBTCONSOLIDATION,E,15200,16.35,0.42,Y,19,Very High,0.9908428351761788,75%+,Critical Review
